TID	PID	Length	UID	FC	SessionID	RR/Sta	Address		Data Size
0002	0000	000a	01	5a	00		28	b090	0107	ec00
0003	0000	000a	01	5a	00		28	9c91	0107	1400
0091	0000	000a	01	5a	00		28	d483	0000	ec00
0097	0000	000a	01	5a	00		28	5c89	0000	ec00
0099	0000	000a	01	5a	00		28	348b	0000	ec00
009e	0000	000a	01	5a	00		28	d08f	0000	ec00
00b3	0000	000a	01	5a	00		28	2ca3	0000	ec00
00b8	0000	000a	01	5a	00		28	c8a7	0000	ec00
00be	0000	000a	01	5a	00		28	50ad	0000	ec00
00bf	0000	000a	01	5a	00		28	3cae	0000	ec00
00c2	0000	000a	01	5a	00		28	00b1	0000	ec00
00cb	0000	000a	01	5a	00		28	4cb9	0000	ec00
0156	0000	000a	01	5a	00		28	7039	0100	ec00

not modbus
0090	0000	000a	01	5a	00		28	e882	0000	ec00
0090	0000	000a	01	5a	00		28	e882	0000	ec00
00b6	0000	000a	01	5a	00		28	f0a5	0000	ec00
00bc	0000	000a	01	5a	00		28	78ab	0000	ec00
0003	0000	000a	01	5a	00		28	9c91	0107	1400
0003	0000	000a	01	5a	00		28	9c91	0107	1400
00d6	0000	00f2	01	5a	00		fe	ec00	512a	4401
0003	0000	000a	01	5a	00		28	9c91	0107	1400

