TID	PID	Length	UID	FC	SessionID	RR/Sta	Address		Data Size
008a	0000	000a	01	5a	00		28	607d	0000	ec00
009b	0000	000a	01	5a	00		28	0c8d	0000	ec00
009d	0000	000a	01	5a	00		28	e48e	0000	ec00
00a1	0000	000a	01	5a	00		28	9492	0000	ec00
51f5	0000	0004	01	5a	00		04
0098	0000	000a	01	5a	00		28	488a	0000	ec00
009d	0000	000a	01	5a	00		28	e48e	0000	ec00
00af	0000	00f2	01	5a	00		fe	ec00	3c08	4d53
00af	0000	000a	01	5a	00		28	7c9f	0000	ec00
00bc	0000	000a	01	5a	00		28	78ab	0000	ec00
00b4	0000	000a	01	5a	00		28	18a4	0000	ec00
00bd	0000	000a	01	5a	00		28	64ac	0000	ec00
009b	0000	000a	01	5a	00		28	0c8d	0000	ec00
00c3	0000	000a	01	5a	00		28	ecb1	0000	ec00
00c9	0000	000a	01	5a	00		28	74b7	0000	ec00
00d2	0000	000a	01	5a	00		28	c0bf	0000	ec00
00ca	0000	000a	01	5a	00		28	60b8	0000	ec00
00d0	0000	000a	01	5a	00		28	e8bd	0000	ec00
00d6	0000	000a	01	5a	00		28	70c3	0000	ec00
0156	0000	000a	01	5a	00		28	7039	0100	ec00
