TID	PID	Length	UID	FC	SessionID	RR/Sta	Address		Data Size
008d	0000	000a	01	5a	00		28	2480	0000	ec00
0095	0000	000a	01	5a	00		28	8487	0000	ec00
009a	0000	000a	01	5a	00		28	208c	0000	ec00
00ab	0000	000a	01	5a	00		28	cc9b	0000	ec00
00b4	0000	000a	01	5a	00		28	18a4	0000	ec00
00b7	0000	000a	01	5a	00		28	dca6	0000	ec00
00bf	0000	000a	01	5a	00		28	3cae	0000	ec00
00c3	0000	000a	01	5a	00		28	ecb1	0000	ec00
00c8	0000	000a	01	5a	00		28	88b6	0000	ec00
00c9	0000	000a	01	5a	00		28	74b7	0000	ec00
00d0	0000	000a	01	5a	00		28	e8bd	0000	ec00

not modbus
0095	0000	000a	01	5a	00		28	8487	0000	ec00
009a	0000	000a	01	5a	00		28	208c	0000	ec00
00b6	0000	000a	01	5a	00		28	f0a5	0000	ec00
00be	0000	000a	01	5a	00		28	50ad	0000	ec00
00c2	0000	000a	01	5a	00		28	00b1	0000	ec00
00c1	0000	000a	01	5a	00		28	14b0	0000	ec00
00cc	0000	000a	01	5a	00		28	38ba	0000	ec00
