TID	PID	Length	UID	FC	SessionID	RR/Sta	Address		Data Size
0090	0000	000a	01	5a	00		28	e882	0000	ec00
0099	0000	000a	01	5a	00		28	348b	0000	ec00
009d	0000	000a	01	5a	00		28	e48e	0000	ec00
00a7	0000	000a	01	5a	00		28	1c98	0000	ec00
00a8	0000	000a	01	5a	00		28	0899	0000	ec00
00ae	0000	000a	01	5a	00		28	909e	0000	ec00
00af	0000	000a	01	5a	00		28	7c9f	0000	ec00
00b5	0000	000a	01	5a	00		28	04a5	0000	ec00
00cc	0000	000a	01	5a	00		28	38ba	0000	ec00
00d3	0000	000a	01	5a	00		28	acc0	0000	ec00
00d6	0000	000a	01	5a	00		28	70c3	0000	ec00
0156	0000	000a	01	5a	00		28	7039	0100	ec00

not modbus
00a8	0000	000a	01	5a	00		28	0899	0000	ec00
00a1	0000	000a	01	5a	00		28	9492	0000	ec00
00aa	0000	000a	01	5a	00		28	e09a	0000	ec00
00a8	0000	000a	01	5a	00		28	0899	0000	ec00
00c2	0000	000a	01	5a	00		28	00b1	0000	ec00
00cb	0000	000a	01	5a	00		28	4cb9	0000	ec00
00cc	0000	000a	01	5a	00		28	38ba	0000	ec00
00d4	0000	000a	01	5a	00		28	98c1	0000	ec00

