TID	PID	Length	UID	FC	SessionID	RR/Sta	Address		Data Size
008c	0000	000a	01	5a	00		28	387f	0000	ec00
0095	0000	000a	01	5a	00		28	8487	0000	ec00
0096	0000	000a	01	5a	00		28	7088	0000	ec00
009b	0000	000a	01	5a	00		28	0c8d	0000	ec00
00ad	0000	000a	01	5a	00		28	a49d	0000	ec00
00af	0000	000a	01	5a	00		28	7c9f	0000	ec00
00c1	0000	000a	01	5a	00		28	14b0	0000	ec00
00c6	0000	000a	01	5a	00		28	b0b4	0000	ec00
00ce	0000	000a	01	5a	00		28	10bc	0000	ec00
00d4	0000	000a	01	5a	00		28	98c1	0000	ec00
0156	0000	000a	01	5a	00		28	7039	0100	ec00

not modbus
00a8	0000	000a	01	5a	00		28	0899	0000	ec00
00a7	0000	000a	01	5a	00		28	1c98	0000	ec00
009b	0000	000a	01	5a	00		28	0c8d	0000	ec00
00ac	0000	000a	01	5a	00		28	b89c	0000	ec00
0095	0000	000a	01	5a	00		28	8487	0000	ec00
00ba	0000	000a	01	5a	00		28	a0a9	0000	ec00
00c5	0000	000a	01	5a	00		28	c4b3	0000	ec00
00cb	0000	000a	01	5a	00		28	4cb9	0000	ec00
00c1	0000	000a	01	5a	00		28	14b0	0000	ec00
00ce	0000	000a	01	5a	00		28	10bc	0000	ec00

